weekday,week_number,trips
Monday,1,4519
Tuesday,1,5035
Wednesday,1,7465
Thursday,1,4475
Friday,1,4148
Saturaday,1,4008
Sunday,1,3592
Monday,2,4509
Tuesday,2,3944
Wednesday,2,3999
Thursday,2,4186
Friday,2,4636
Saturaday,2,4190
Sunday,2,3758
Monday,3,4037
Tuesday,3,3856
Wednesday,3,4155
Thursday,3,4215
Friday,3,4395
Saturaday,3,4293
Sunday,3,3636
Monday,4,3780
Tuesday,4,3909
Wednesday,4,3775
Thursday,4,4069
Friday,4,4683
Saturaday,4,4138
Sunday,4,3942
Monday,5,3823
Tuesday,5,4017
Wednesday,5,3802
Thursday,5,4185
Friday,5,4847
Saturaday,5,4584
Sunday,5,4337
Monday,6,3980
Tuesday,6,4701
Wednesday,6,3829
Thursday,6,4741
Friday,6,4864
Saturaday,6,4669
Sunday,6,4706
Monday,7,4079
Tuesday,7,3971
Wednesday,7,4449
Thursday,7,4559
Friday,7,6220
Saturaday,7,4432
Sunday,7,4066
Monday,8,4137
Tuesday,8,3979
Wednesday,8,4430
Thursday,8,5859
Friday,8,5903
Saturaday,8,4911
Sunday,8,4340
Monday,9,3976
Tuesday,9,4285
Wednesday,9,4582
Thursday,9,5055
Friday,9,5776
Saturaday,9,5741
Sunday,9,4780
Monday,10,4159
Tuesday,10,5589
Wednesday,10,4026
Thursday,10,4379
Friday,10,5042
Saturaday,10,4691
Sunday,10,4235
Monday,11,4109
Tuesday,11,4307
Wednesday,11,4250
Thursday,11,4472
Friday,11,4924
Saturaday,11,4308
Sunday,11,4009
Monday,12,3900
Tuesday,12,3647
Wednesday,12,4043
Thursday,12,4118
Friday,12,4923
Saturaday,12,4453
Sunday,12,4295
Monday,13,4129
Tuesday,13,4088
Wednesday,13,4229
Thursday,13,4299
Friday,13,5611
Saturaday,13,4948
Sunday,13,4625
Monday,14,4089
Tuesday,14,4439
Wednesday,14,4230
Thursday,14,4791
Friday,14,5614
Saturaday,14,4607
Sunday,14,4849
Monday,15,4121
Tuesday,15,4070
Wednesday,15,4473
Thursday,15,4787
Friday,15,5501
Saturaday,15,5216
Sunday,15,4707
Monday,16,4216
Tuesday,16,4369
Wednesday,16,4440
Thursday,16,5018
Friday,16,4915
Saturaday,16,4340
Sunday,16,3839
Monday,17,3567
Tuesday,17,4158
Wednesday,17,4244
Thursday,17,5182
Friday,17,4877
Saturaday,17,3953
Sunday,17,4318
Monday,18,4327
Tuesday,18,4331
Wednesday,18,4865
Thursday,18,4684
Friday,18,5192
Saturaday,18,5519
Sunday,18,6410
Monday,19,5693
Tuesday,19,6254
Wednesday,19,6064
Thursday,19,6011
Friday,19,6692
Saturaday,19,6046
Sunday,19,5311
Monday,20,4442
Tuesday,20,4321
Wednesday,20,4398
Thursday,20,4871
Friday,20,5254
Saturaday,20,4893
Sunday,20,4508
Monday,21,4614
Tuesday,21,4760
Wednesday,21,4853
Thursday,21,4889
Friday,21,5404
Saturaday,21,5148
Sunday,21,4605
Monday,22,4526
Tuesday,22,4924
Wednesday,22,4549
Thursday,22,5215
Friday,22,5624
Saturaday,22,5689
Sunday,22,5659
Monday,23,4737
Tuesday,23,4755
Wednesday,23,4590
Thursday,23,5800
Friday,23,7078
Saturaday,23,6620
Sunday,23,5677
Monday,24,4570
Tuesday,24,3834
Wednesday,24,4571
Thursday,24,4838
Friday,24,5252
Saturaday,24,5198
Sunday,24,4491
Monday,25,4509
Tuesday,25,4582
Wednesday,25,4522
Thursday,25,4872
Friday,25,5462
Saturaday,25,5267
Sunday,25,4766
Monday,26,5293
Tuesday,26,6584
Wednesday,26,4701
Thursday,26,4882
Friday,26,5547
Saturaday,26,5149
Sunday,26,4255
Monday,27,9284
Tuesday,27,4725
Wednesday,27,4683
Thursday,27,5193
Friday,27,5644
Saturaday,27,5287
Sunday,27,4667
Monday,28,4694
Tuesday,28,4624
Wednesday,28,4765
Thursday,28,5112
Friday,28,5221
Saturaday,28,4768
Sunday,28,3941
Monday,29,4413
Tuesday,29,4500
Wednesday,29,4433
Thursday,29,4927
Friday,29,5134
Saturaday,29,5024
Sunday,29,4286
Monday,30,4252
Tuesday,30,4523
Wednesday,30,4445
Thursday,30,4672
Friday,30,4919
Saturaday,30,4698
Sunday,30,4186
Monday,31,4094
Tuesday,31,4351
Wednesday,31,4287
Thursday,31,4419
Friday,31,4452
Saturaday,31,4463
Sunday,31,3943
Monday,32,3677
Tuesday,32,4029
Wednesday,32,3972
Thursday,32,4374
Friday,32,4624
Saturaday,32,4528
Sunday,32,3937
Monday,33,4114
Tuesday,33,4269
Wednesday,33,4390
Thursday,33,3792
Friday,33,4166
Saturaday,33,3940
Sunday,33,3642
Monday,34,3815
Tuesday,34,4131
Wednesday,34,3643
Thursday,34,3909
Friday,34,3625
Saturaday,34,3996
Sunday,34,3674
Monday,35,3763
Tuesday,35,3858
Wednesday,35,3743
Thursday,35,4014
Friday,35,4159
Saturaday,35,4345
Sunday,35,3978
Monday,36,4169
Tuesday,36,3898
Wednesday,36,4319
Thursday,36,4504
Friday,36,4872
Saturaday,36,4854
Sunday,36,4392
Monday,37,4262
Tuesday,37,4638
Wednesday,37,4758
Thursday,37,4948
Friday,37,5376
Saturaday,37,5512
Sunday,37,5712
Monday,38,4772
Tuesday,38,4631
Wednesday,38,5045
Thursday,38,4963
Friday,38,6014
Saturaday,38,5377
Sunday,38,5037
Monday,39,4796
Tuesday,39,4822
Wednesday,39,4895
Thursday,39,5233
Friday,39,6534
Saturaday,39,5184
Sunday,39,4729
Monday,40,4852
Tuesday,40,5250
Wednesday,40,4987
Thursday,40,4352
Friday,40,5829
Saturaday,40,5724
Sunday,40,4921
Monday,41,4573
Tuesday,41,4453
Wednesday,41,4551
Thursday,41,5251
Friday,41,5848
Saturaday,41,5561
Sunday,41,5284
Monday,42,4899
Tuesday,42,4654
Wednesday,42,4851
Thursday,42,4665
Friday,42,5689
Saturaday,42,4525
Sunday,42,4308
Monday,43,4671
Tuesday,43,5248
Wednesday,43,4594
Thursday,43,4987
Friday,43,5325
Saturaday,43,5175
Sunday,43,5007
Monday,44,4282
Tuesday,44,4319
Wednesday,44,4493
Thursday,44,4780
Friday,44,6051
Saturaday,44,5814
Sunday,44,4813
Monday,45,4351
Tuesday,45,4180
Wednesday,45,4089
Thursday,45,5819
Friday,45,5129
Saturaday,45,4979
Sunday,45,4083
Monday,46,4148
Tuesday,46,3993
Wednesday,46,4106
Thursday,46,4123
Friday,46,4859
Saturaday,46,4898
Sunday,46,3903
Monday,47,3767
Tuesday,47,3787
Wednesday,47,3925
Thursday,47,4207
Friday,47,4956
Saturaday,47,4507
Sunday,47,3956
Monday,48,3994
Tuesday,48,7296
Wednesday,48,4781
Thursday,48,4781
Friday,48,5374
Saturaday,48,4918
Sunday,48,4568
Monday,49,4198
Tuesday,49,4177
Wednesday,49,4382
Thursday,49,4414
Friday,49,5307
Saturaday,49,5836
Sunday,49,4893
Monday,50,4060
Tuesday,50,4291
Wednesday,50,4113
Thursday,50,4678
Friday,50,5477
Saturaday,50,5260
Sunday,50,4604
Monday,51,4099
Tuesday,51,4258
Wednesday,51,5278
Thursday,51,5078
Friday,51,6645
Saturaday,51,6397
Sunday,51,5358
Monday,52,4697
Tuesday,52,4634
Wednesday,52,2182
Thursday,52,3901
Friday,52,4575
Saturaday,52,4656
Sunday,52,4219
